,task,cosine,rank,top_10,category
0,"('athens', 'greece', 'baghdad', 'iraq')",0.6422313,1,"[('iraq', 0.64223135), ('iraqi', 0.55553335), ('syria', 0.53246474), ('iraqis', 0.52941287), ('afghanistan', 0.49000347), ('mosul', 0.48460326), ('saddam', 0.48088795), ('yemen', 0.47182694), ('libya', 0.4669561), ('kabul', 0.46300465)]",capital-common-countries
1,"('athens', 'greece', 'bangkok', 'thailand')",0.69567,1,"[('thailand', 0.69567), ('cambodia', 0.4977392), ('thai', 0.4966277), ('indonesia', 0.48080844), ('bangladesh', 0.45941108), ('myanmar', 0.45661786), ('laos', 0.4480629), ('malaysia', 0.4463063), ('bulgaria', 0.42754534), ('jakarta', 0.4207369)]",capital-common-countries
2,"('athens', 'greece', 'beijing', 'china')",0.66118604,1,"[('china', 0.661186), ('chinese', 0.47734934), ('japan', 0.46809435), ('thailand', 0.44757798), ('russia', 0.44703463), ('pakistan', 0.43859646), ('ijing', 0.42474827), ('romania', 0.4221674), ('taiwan', 0.41790122), ('france', 0.4172412)]",capital-common-countries
3,"('athens', 'greece', 'berlin', 'germany')",0.6012795,1,"[('germany', 0.6012795), ('france', 0.4640275), ('denmark', 0.4524129), ('poland', 0.45125556), ('belgium', 0.44923565), ('europe', 0.44319788), ('sweden', 0.44277826), ('romania', 0.43906486), ('italy', 0.4385065), ('finland', 0.43846795)]",capital-common-countries
4,"('athens', 'greece', 'bern', 'switzerland')",0.36459416,1,"[('switzerland', 0.3645942), ('spain', 0.3280067), ('sweden', 0.29463044), ('france', 0.280874), ('chile', 0.26623306), ('denmark', 0.26472074), ('italy', 0.261294), ('belgium', 0.25843614), ('norway', 0.2581295), ('argentina', 0.25510544)]",capital-common-countries
5,"('athens', 'greece', 'cairo', 'egypt')",0.6078779,1,"[('egypt', 0.60787797), ('syria', 0.48144093), ('morocco', 0.47776473), ('libya', 0.4769511), ('egyptian', 0.45645192), ('tunisia', 0.4471371), ('cuba', 0.4349973), ('romania', 0.42624184), ('kenya', 0.4259238), ('somalia', 0.42165133)]",capital-common-countries
6,"('athens', 'greece', 'canberra', 'australia')",0.5374784,1,"[('australia', 0.5374785), ('tasmania', 0.49118006), ('nsw', 0.46920893), ('queensland', 0.46357888), ('australians', 0.4589901), ('berra', 0.4546679), ('brisbane', 0.448643), ('denmark', 0.42678434), ('fiji', 0.41285297), ('indonesia', 0.40914586)]",capital-common-countries
7,"('athens', 'greece', 'havana', 'cuba')",0.6948189,1,"[('cuba', 0.6948189), ('haiti', 0.50280774), ('venezuela', 0.48910323), ('spain', 0.48165417), ('cuban', 0.48005912), ('colombia', 0.4674293), ('guatemala', 0.45152125), ('uruguay', 0.44211257), ('honduras', 0.4362041), ('portugal', 0.43574405)]",capital-common-countries
8,"('athens', 'greece', 'helsinki', 'finland')",0.668383,1,"[('finland', 0.668383), ('finnish', 0.5397127), ('sweden', 0.49833283), ('hungary', 0.47432968), ('lithuania', 0.47281265), ('estonia', 0.47051358), ('denmark', 0.45739526), ('romania', 0.4426978), ('iceland', 0.44260684), ('croatia', 0.4398229)]",capital-common-countries
9,"('athens', 'greece', 'islamabad', 'pakistan')",0.6676589,1,"[('pakistan', 0.6676589), ('pakistani', 0.5208865), ('karachi', 0.5006108), ('bangladesh', 0.4798202), ('afghanistan', 0.4717302), ('romania', 0.46458817), ('somalia', 0.45676765), ('nepal', 0.45029572), ('qatar', 0.44972828), ('thailand', 0.44515154)]",capital-common-countries
10,"('athens', 'greece', 'kabul', 'afghanistan')",0.59984356,1,"[('afghanistan', 0.59984374), ('afghan', 0.5336908), ('afghans', 0.5254781), ('pakistan', 0.5076684), ('taliban', 0.47319293), ('syria', 0.4697889), ('somalia', 0.46103653), ('nepal', 0.4556242), ('bangladesh', 0.44340292), ('baghdad', 0.43756232)]",capital-common-countries
11,"('athens', 'greece', 'london', 'england')",0.47179103,2,"[('britain', 0.51628345), ('england', 0.47179103), ('europe', 0.4460073), ('france', 0.43632963), ('uk', 0.4005866), ('spain', 0.390938), ('scotland', 0.38902116), ('germany', 0.37142164), ('sweden', 0.36393848), ('british', 0.3635002)]",capital-common-countries
12,"('athens', 'greece', 'madrid', 'spain')",0.66697913,1,"[('spain', 0.6669792), ('portugal', 0.50616), ('france', 0.505409), ('italy', 0.47853887), ('argentina', 0.46846354), ('morocco', 0.46639237), ('barcelona', 0.466097), ('croatia', 0.4567045), ('germany', 0.43427107), ('mexico', 0.4295801)]",capital-common-countries
13,"('athens', 'greece', 'moscow', 'russia')",0.6991127,1,"[('russia', 0.6991127), ('russian', 0.5378363), ('ukraine', 0.5241866), ('putin', 0.5214383), ('finland', 0.50618666), ('poland', 0.5000713), ('sweden', 0.4974731), ('russians', 0.4817578), ('kremlin', 0.4793371), ('vladimir', 0.47308412)]",capital-common-countries
14,"('athens', 'greece', 'oslo', 'norway')",0.64714605,1,"[('norway', 0.647146), ('norwegian', 0.50496405), ('sweden', 0.49352515), ('denmark', 0.49019453), ('finland', 0.47842634), ('scandinav', 0.43563077), ('iceland', 0.43558222), ('copenhagen', 0.4249585), ('bulgaria', 0.41885737), ('switzerland', 0.41675356)]",capital-common-countries
15,"('athens', 'greece', 'ottawa', 'canada')",0.5605114,1,"[('canada', 0.56051147), ('quebec', 0.5275714), ('ontario', 0.51273304), ('montreal', 0.458328), ('canadians', 0.45158598), ('winnipeg', 0.45040393), ('saskatchewan', 0.4495139), ('canadian', 0.44754943), ('manitoba', 0.43811682), ('alberta', 0.4263293)]",capital-common-countries
16,"('athens', 'greece', 'paris', 'france')",0.6251912,1,"[('france', 0.62519115), ('french', 0.42864057), ('europe', 0.4249545), ('spain', 0.3991173), ('germany', 0.3821304), ('italy', 0.36854059), ('switzerland', 0.3682085), ('belgium', 0.36437246), ('brazil', 0.35328826), ('syria', 0.3476401)]",capital-common-countries
17,"('athens', 'greece', 'rome', 'italy')",0.575287,1,"[('italy', 0.5752871), ('romania', 0.4670692), ('spain', 0.46354142), ('france', 0.46195206), ('germany', 0.4325556), ('europe', 0.40163374), ('brazil', 0.4003067), ('sicily', 0.392213), ('portugal', 0.39113948), ('poland', 0.3872226)]",capital-common-countries
18,"('athens', 'greece', 'stockholm', 'sweden')",0.658737,1,"[('sweden', 0.6587369), ('swedish', 0.51097685), ('finland', 0.5072618), ('denmark', 0.49693733), ('norway', 0.48095047), ('scandinav', 0.46754962), ('scandinavian', 0.4486741), ('switzerland', 0.44545516), ('bulgaria', 0.42494056), ('poland', 0.41599008)]",capital-common-countries
19,"('athens', 'greece', 'tehran', 'iran')",0.6953969,1,"[('iran', 0.6953969), ('iranian', 0.5715512), ('iranians', 0.51875556), ('syria', 0.4734244), ('pakistan', 0.46577638), ('rouhani', 0.45952794), ('russia', 0.45786256), ('romania', 0.45190346), ('persia', 0.4499799), ('qatar', 0.44139904)]",capital-common-countries
