,task,cosine,rank,top_10,category
0,"('athens', 'greece', 'baghdad', 'iraq')",0.61397785,1,"[('iraq', 0.6139779), ('mesopotamia', 0.60773236), ('iraqi', 0.59211993), ('kuwait', 0.5851996), ('kabul', 0.5649499), ('syria', 0.5641617), ('ذ', 0.5639315), ('peshawar', 0.5610996), ('rajasthan', 0.5609068), ('त', 0.5589031)]",capital-common-countries
1,"('athens', 'greece', 'bangkok', 'thailand')",0.6536159,1,"[('thailand', 0.6536159), ('cambodia', 0.5840745), ('น', 0.5545794), ('cambodian', 0.55159044), ('##ย', 0.5500317), ('penang', 0.54907507), ('ต', 0.5486614), ('kathmandu', 0.54771817), ('ม', 0.5460647), ('laos', 0.5460165)]",capital-common-countries
2,"('athens', 'greece', 'beijing', 'china')",0.52755725,4,"[('tianjin', 0.54582757), ('nanjing', 0.53440684), ('bulgaria', 0.53258955), ('china', 0.52755725), ('xinjiang', 0.5258505), ('sichuan', 0.52393353), ('taiwan', 0.5141713), ('jiangsu', 0.50921166), ('peking', 0.5079964), ('guangzhou', 0.5071737)]",capital-common-countries
3,"('athens', 'greece', 'berlin', 'germany')",0.5479567,1,"[('germany', 0.5479567), ('italy', 0.43626735), ('scandinavia', 0.43456918), ('potsdam', 0.4313784), ('bulgaria', 0.42507964), ('norway', 0.42454493), ('poland', 0.42223868), ('france', 0.42120317), ('munich', 0.4190356), ('denmark', 0.41474348)]",capital-common-countries
4,"('athens', 'greece', 'bern', 'switzerland')",0.5048087,2,"[('##נ', 0.5089948), ('switzerland', 0.5048087), ('liechtenstein', 0.49513426), ('##ன', 0.48775557), ('1697', 0.48000813), ('1682', 0.47790825), ('ק', 0.47731203), ('latvia', 0.4753549), ('##ᄏ', 0.47496465), ('##ᄇ', 0.4749035)]",capital-common-countries
5,"('athens', 'greece', 'cairo', 'egypt')",0.5913807,1,"[('egypt', 0.5913807), ('egyptians', 0.53934705), ('tunisia', 0.52958083), ('egyptian', 0.52063566), ('coptic', 0.5104148), ('fifteenth', 0.5069843), ('1697', 0.50615174), ('ethiopia', 0.5036168), ('mesopotamia', 0.5029428), ('morocco', 0.5021588)]",capital-common-countries
6,"('athens', 'greece', 'canberra', 'australia')",0.5007555,1075,"[('cumbria', 0.543404), ('tasmania', 0.5355847), ('scandinavia', 0.5344308), ('1689', 0.53322196), ('jordanian', 0.5275169), ('[unused69]', 0.5273914), ('[unused422]', 0.5271732), ('[unused449]', 0.52706224), ('[unused533]', 0.52697116), ('[unused424]', 0.5269223)]",capital-common-countries
7,"('athens', 'greece', 'hanoi', 'vietnam')",0.5969509,1,"[('vietnam', 0.596951), ('cambodia', 0.5926347), ('saigon', 0.5896621), ('vietnamese', 0.58041286), ('ต', 0.5768943), ('##國', 0.5742983), ('##ᄏ', 0.57420856), ('空', 0.57293624), ('indochina', 0.5726538), ('[unused361]', 0.5717211)]",capital-common-countries
8,"('athens', 'greece', 'havana', 'cuba')",0.63602185,1,"[('cuba', 0.63602185), ('cuban', 0.5973907), ('spaniards', 0.554119), ('tunisia', 0.55358857), ('venezuela', 0.5467971), ('bulgaria', 0.54665875), ('[unused203]', 0.5463607), ('[unused31]', 0.5455771), ('[unused758]', 0.545338), ('[unused804]', 0.5451806)]",capital-common-countries
9,"('athens', 'greece', 'helsinki', 'finland')",0.6432,1,"[('finland', 0.6431999), ('scandinavia', 0.5910696), ('finnish', 0.58780545), ('greeks', 0.5834855), ('gothenburg', 0.56804293), ('latvia', 0.56367475), ('estonia', 0.5581848), ('sweden', 0.55801654), ('norway', 0.5473566), ('thessaloniki', 0.5447271)]",capital-common-countries
10,"('athens', 'greece', 'islamabad', 'pakistan')",0.61557597,2,"[('peshawar', 0.6307301), ('pakistan', 0.615576), ('lahore', 0.6088491), ('[unused679]', 0.60456365), ('[unused170]', 0.6038277), ('[unused192]', 0.60322005), ('[unused898]', 0.60319465), ('[unused86]', 0.60309446), ('[unused203]', 0.603081), ('[unused374]', 0.6029275)]",capital-common-countries
11,"('athens', 'greece', 'kabul', 'afghanistan')",0.618844,2,"[('peshawar', 0.64653414), ('afghanistan', 0.6188441), ('tajikistan', 0.6025883), ('kathmandu', 0.5978411), ('afghan', 0.5972585), ('scandinavia', 0.58710855), ('islamabad', 0.58644426), ('skopje', 0.58440703), ('[unused203]', 0.5776674), ('[unused806]', 0.5776444)]",capital-common-countries
12,"('athens', 'greece', 'london', 'england')",0.44404647,2,"[('germany', 0.45668557), ('england', 0.44404653), ('italy', 0.4311038), ('france', 0.42185), ('spain', 0.40802634), ('britain', 0.40578422), ('scotland', 0.39882264), ('india', 0.39077154), ('europe', 0.3900408), ('ireland', 0.38504326)]",capital-common-countries
13,"('athens', 'greece', 'madrid', 'spain')",0.5763235,1,"[('spain', 0.57632357), ('portugal', 0.53379637), ('italy', 0.5267289), ('zaragoza', 0.5203285), ('espana', 0.5148311), ('catalonia', 0.50801754), ('spaniards', 0.50603384), ('argentina', 0.4829277), ('greeks', 0.48013276), ('morocco', 0.48003083)]",capital-common-countries
