,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,4.812,0.0215,4.56,0.0215,2.992,0.4605,0.9945,0.455,0.9945,0.4555,11.8435,13.132,11.323,9.189,7.278,0.117,0.095,0.128,0.143,0.1585
1,5657,2.16,0.032,2.074,0.0335,1.02,0.457,0.9935,0.417,0.9935,0.4725,1.4,2.3195,1.4725,1.701,0.882,0.444,0.371,0.424,0.3845,0.4995
2,2743,4.1215,0.018,3.204,0.018,2.0945,0.4935,0.9955,0.5135,0.9955,0.5035,10.282,9.168,9.056,7.7405,4.562,0.113,0.1295,0.134,0.1515,0.185
3,6049,3.739,0.038,2.283,0.055,1.797,0.49,0.9945,0.784,0.9925,0.5075,5.976,9.874,8.739,4.8485,3.197,0.1605,0.1235,0.147,0.17,0.2315
4,5852,3.77,16.092,4.1455,0.332,1.7005,0.4765,0.308,0.4685,0.9365,0.5105,7.4805,20.7705,8.3085,4.387,2.572,0.159,0.0405,0.167,0.208,0.2745
5,6659,2.9025,0.0235,5.4,0.0275,1.1445,0.45,0.993,0.35,0.992,0.481,2.0355,4.2235,6.936,2.0365,1.0975,0.333,0.296,0.2525,0.3395,0.4285
6,9076,2.526,0.028,0.214,0.029,1.1575,0.461,0.991,0.9605,0.99,0.4975,2.079,2.7285,2.6785,2.119,1.314,0.338,0.308,0.308,0.3335,0.3945
7,470,3.631,0.0275,2.8295,0.0275,1.804,0.4875,0.994,0.6705,0.994,0.496,8.903,6.811,9.6,4.6235,3.4815,0.146,0.153,0.142,0.189,0.224
8,357,3.753,0.0625,3.553,0.068,1.77,0.4685,0.991,0.472,0.9895,0.464,8.406,9.174,7.857,4.4145,3.0135,0.1495,0.1255,0.167,0.1845,0.241
9,5088,2.1845,0.027,0.939,0.029,0.944,0.46,0.991,0.774,0.9905,0.495,1.308,1.9995,1.559,1.429,0.821,0.433,0.4035,0.4085,0.427,0.4985
10,7605,2.6045,0.012,2.4785,0.0205,1.0775,0.4435,0.9935,0.447,0.9895,0.4715,1.941,4.555,1.993,1.9525,0.9425,0.345,0.2715,0.3465,0.361,0.4585
11,9549,3.1485,0.019,5.656,0.0245,1.1965,0.4725,0.9925,0.3385,0.991,0.5095,3.621,6.0775,10.186,2.576,1.69,0.2485,0.2055,0.146,0.283,0.351
12,8231,3.7495,0.0425,3.7495,0.045,1.818,0.4785,0.9925,0.4825,0.9915,0.4875,8.934,12.183,8.983,5.83,2.8555,0.144,0.1025,0.149,0.199,0.258
13,8408,2.928,0.023,2.809,0.053,1.2245,0.4545,0.992,0.4535,0.983,0.472,3.1015,6.8585,3.1175,2.4825,1.3345,0.2645,0.183,0.268,0.283,0.4055
14,5763,2.328,0.012,1.162,0.0355,0.982,0.4555,0.994,0.7785,0.9885,0.4875,1.784,2.9445,2.788,1.8545,0.973,0.3845,0.3255,0.3345,0.3725,0.45
15,7226,4.592,15.124,4.6455,0.0315,2.201,0.4805,0.3405,0.482,0.993,0.5025,11.0085,21.869,10.98,7.2355,4.9625,0.0995,0.0135,0.107,0.147,0.2015
16,9244,3.596,14.4135,3.6545,0.0365,1.4425,0.475,0.301,0.4775,0.9935,0.4925,7.501,21.531,8.12,3.4055,2.2805,0.1565,0.0555,0.16,0.228,0.2805
17,2257,3.1365,0.0175,2.609,0.018,1.2945,0.4505,0.9945,0.4675,0.994,0.489,2.794,5.6215,2.7795,2.4235,1.5505,0.287,0.2245,0.2735,0.304,0.3465
18,4295,3.892,14.6245,3.9435,0.09,1.665,0.492,0.3275,0.4915,0.986,0.5045,9.9565,21.491,10.264,4.575,3.1415,0.122,0.0275,0.1275,0.1935,0.2525
19,8433,4.5195,13.3205,4.547,0.0465,2.0485,0.5065,0.3625,0.508,0.9935,0.523,10.059,21.382,10.135,6.301,4.152,0.098,0.0115,0.1065,0.146,0.2145
