,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,4.478,0.0725,4.1455,0.073,2.2985,0.4765,0.992,0.48,0.9915,0.4885,11.35,12.2995,10.7005,7.519,4.5805,0.123,0.1245,0.133,0.161,0.2045
1,5657,1.7655,0.016,1.7575,0.0225,0.589,0.486,0.993,0.4405,0.9895,0.552,1.066,1.646,1.083,1.009,0.527,0.4625,0.4315,0.473,0.477,0.5835
2,2743,3.808,0.023,1.217,0.023,1.3035,0.5115,0.9945,0.8155,0.9945,0.553,9.2755,7.1465,7.1975,5.75,3.004,0.1335,0.201,0.2105,0.214,0.2675
3,6049,3.1465,0.0105,1.9095,0.1295,1.064,0.516,0.9965,0.805,0.9765,0.575,4.728,10.6605,8.7905,3.175,1.7645,0.167,0.144,0.163,0.2445,0.346
4,5852,3.2505,15.606,3.242,0.3215,0.9535,0.4905,0.31,0.496,0.9355,0.574,6.5815,21.495,7.308,2.9285,1.3745,0.1905,0.041,0.201,0.257,0.3985
5,6659,2.3075,0.0135,1.2345,0.019,0.701,0.504,0.992,0.799,0.9905,0.563,1.629,3.364,2.8,1.295,0.583,0.3505,0.299,0.3025,0.393,0.5575
6,9076,2.2915,0.0135,1.1055,0.014,0.735,0.4925,0.995,0.788,0.9945,0.555,1.5055,2.1145,1.8375,1.278,0.715,0.3915,0.3645,0.386,0.393,0.5125
7,470,3.051,0.033,1.468,0.0525,1.043,0.519,0.9935,0.79,0.987,0.5595,8.383,8.744,7.598,4.079,2.179,0.192,0.155,0.172,0.213,0.3135
8,357,3.1005,0.023,2.948,0.0585,1.008,0.479,0.995,0.4895,0.9825,0.5495,7.3755,7.455,6.8415,2.71,1.632,0.173,0.1375,0.1875,0.2425,0.333
9,5088,1.898,0.007,0.8255,0.007,0.595,0.4855,0.996,0.7895,0.996,0.5545,1.096,1.274,1.1965,0.9635,0.4665,0.47,0.4645,0.4695,0.4865,0.6265
10,7605,2.1625,0.0095,5.03,0.1065,0.657,0.476,0.9945,0.341,0.967,0.5515,1.421,3.565,7.4735,1.1335,0.5225,0.3825,0.3105,0.2535,0.4205,0.5825
11,9549,2.7165,0.0225,2.583,0.0225,0.717,0.4895,0.9925,0.496,0.9925,0.5915,2.8935,6.6285,5.306,1.7065,0.8055,0.254,0.184,0.2345,0.3285,0.4565
12,8231,3.372,0.032,3.323,0.045,1.1045,0.4965,0.9915,0.494,0.9905,0.54,8.6435,12.0835,8.575,3.4645,1.5805,0.1605,0.1215,0.1605,0.235,0.358
13,8408,2.519,0.024,2.3695,0.024,0.6515,0.474,0.995,0.471,0.995,0.5845,2.3225,5.808,2.3235,1.3905,0.6115,0.291,0.2335,0.2955,0.3645,0.5025
14,5763,2.095,0.0205,1.0135,0.0635,0.5695,0.47,0.9915,0.7715,0.973,0.5805,1.397,2.387,1.8965,1.1125,0.5145,0.4,0.373,0.3705,0.4505,0.593
15,7226,3.953,0.03,3.936,0.036,1.421,0.4995,0.9925,0.5035,0.9905,0.545,10.012,13.3155,10.1335,5.4135,3.3035,0.115,0.079,0.1175,0.1715,0.2635
16,9244,3.073,14.157,3.197,0.0095,0.8895,0.4845,0.303,0.486,0.9935,0.57,6.9025,20.388,7.294,2.19,0.9965,0.1925,0.057,0.192,0.284,0.3945
17,2257,2.5225,0.009,2.1485,0.009,0.664,0.4775,0.994,0.505,0.994,0.5765,2.4505,3.933,2.3155,1.344,0.7595,0.28,0.233,0.2745,0.358,0.4555
18,4295,3.533,0.0075,3.4985,0.01,0.9345,0.514,0.9955,0.521,0.9945,0.5945,8.2945,12.817,9.302,3.554,1.751,0.141,0.096,0.1425,0.2165,0.326
19,8433,3.6875,0.0275,3.6045,0.0275,1.14,0.526,0.993,0.538,0.993,0.598,9.3315,12.8285,9.362,4.2685,2.751,0.1275,0.094,0.134,0.207,0.313
